classification,Total_PnL,Average_PnL,Number_of_Trades
Extreme Fear,739110.24849,34.53786207897196,21400
Extreme Greed,2715171.310673,67.89286133909282,39992
Fear,3357155.441642,54.2903996254993,61837
Greed,2150129.272951,42.74355948851957,50303
Neutral,1292920.67555,34.30771839807886,37686
